Label,XPath,Strategy,Matches,Action,Value
firstName,"//*[@id=""firstName""]",id,1,click,
firstName,"//*[@id=""firstName""]",id,1,change,AHVBGCH
email,"//*[@id=""email""]",id,1,click,
email,"//*[@id=""email""]",id,1,change,PRAKYATH@GMAIL.COM
middleName,"//*[@id=""middleName""]",id,1,click,
middleName,"//*[@id=""middleName""]",id,1,change,M
+1868,"//div[contains(@class, ""border-2"")]",class,1,click,
mobileNumber,"//*[@id=""mobileNumber""]",id,1,click,
mobileNumber,"//*[@id=""mobileNumber""]",id,1,change,122-3344
lastName,"//*[@id=""lastName""]",id,1,click,
lastName,"//*[@id=""lastName""]",id,1,change,CHANDRAN
Select Branch,"//*[@data-testid=""dropdown-button""]",data-testid,1,click,
300 - TECU - PT. FORTIN BRANCH,"//*[@data-testid=""option-2""]",data-testid,1,click,
