Label,XPath,Strategy,Matches,Action,Value
firstName,"//*[@id=""firstName""]",id,1,click,
firstName,"//*[@id=""firstName""]",id,1,change,ABHI
email,"//*[@id=""email""]",id,1,click,
email,"//*[@id=""email""]",id,1,change,ABHI@GMAIL.COM
middleName,"//*[@id=""middleName""]",id,1,click,
middleName,"//*[@id=""middleName""]",id,1,change,M
mobileNumber,"//*[@id=""mobileNumber""]",id,1,click,
mobileNumber,"//*[@id=""mobileNumber""]",id,1,change,452-3678
lastName,"//*[@id=""lastName""]",id,1,click,
lastName,"//*[@id=""lastName""]",id,1,change,CHAND
Select Branch,"//*[@data-testid=""dropdown-button""]",data-testid,1,click,
200 - TECU - COUVA BRANCH,"//*[@data-testid=""option-1""]",data-testid,1,click,
Add profile picture,"//*[@data-testid=""button"" and contains(., ""Add profile picture"")]",data-testid+text,1,click,
Upload,"//*[@data-testid=""upload-button""]",data-testid,1,click,
file-upload,"//*[@id=""file-upload""]",id,1,click,
file-upload,"//*[@id=""file-upload""]",id,1,change,C:\fakepath\Screenshot 2026-01-27 at 1.02.56 PM.png
Save & Continue,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]",data-testid+text,1,click,
otp-input-0,"//*[@id=""otp-input-0""]",id,1,click,
otp-input-0,"//*[@id=""otp-input-0""]",id,1,change,1
otp-input-1,"//*[@id=""otp-input-1""]",id,1,change,2
otp-input-2,"//*[@id=""otp-input-2""]",id,1,change,1
otp-input-3,"//*[@id=""otp-input-3""]",id,1,change,2
otp-input-4,"//*[@id=""otp-input-4""]",id,1,change,1
otp-input-5,"//*[@id=""otp-input-5""]",id,1,change,2
Verify OTP,"//*[@data-testid=""submit-button""]",data-testid,1,click,
