Label,XPath,Strategy,Matches,Action,Value
email,"//*[@id=""email""]",id,1,click,
email,"//*[@id=""email""]",id,1,change,DIFAYID111@OKEXBIT.COM
firstName,"//*[@id=""firstName""]",id,1,click,
firstName,"//*[@id=""firstName""]",id,1,change,DIFA
middleName,"//*[@id=""middleName""]",id,1,click,
middleName,"//*[@id=""middleName""]",id,1,change,M
lastName,"//*[@id=""lastName""]",id,1,click,
lastName,"//*[@id=""lastName""]",id,1,change,CHAN
mobileNumber,"//*[@id=""mobileNumber""]",id,1,click,
mobileNumber,"//*[@id=""mobileNumber""]",id,1,change,124-5786
Select Branch,"//*[@data-testid=""dropdown-text""]",data-testid,1,click,
FLOW BILL,"//*[@data-testid=""option-0""]",data-testid,1,click,
Add profile picture,"//*[@data-testid=""button"" and contains(., ""Add profile picture"")]",data-testid+text,1,click,
Upload,"//*[@data-testid=""upload-button""]",data-testid,1,click,
file-upload,"//*[@id=""file-upload""]",id,1,click,
file-upload,"//*[@id=""file-upload""]",id,1,change,C:\fakepath\Screenshot 2026-01-27 at 1.02.56 PM.png
Save & Continue,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]",data-testid+text,1,click,
otp-input-0,"//*[@id=""otp-input-0""]",id,1,click,
otp-input-0,"//*[@id=""otp-input-0""]",id,1,change,1
otp-input-1,"//*[@id=""otp-input-1""]",id,1,change,2
otp-input-2,"//*[@id=""otp-input-2""]",id,1,change,1
otp-input-3,"//*[@id=""otp-input-3""]",id,1,change,2
otp-input-4,"//*[@id=""otp-input-4""]",id,1,change,1
otp-input-5,"//*[@id=""otp-input-5""]",id,1,change,2
Verify OTP,"//*[@data-testid=""submit-button""]",data-testid,1,click,
1. First form of ID,"//*[@data-testid=""tab-FirstformofID""]",data-testid,1,click,
Choose an option,"//*[@data-testid=""dropdown-button""]",data-testid,1,click,
Select File,"//*[@data-testid=""file-upload-label""]",data-testid,1,click,
upload-front-input,"//*[@id=""upload-front-input""]",id,1,click,
upload-front-input,"//*[@id=""upload-front-input""]",id,1,change,C:\fakepath\FlowBill.jpg
Continue,"//*[@data-testid=""continue-button""]",data-testid,1,click,
2. Second form of ID,"//*[@data-testid=""tab-SecondformofID""]",data-testid,1,click,
National Identification Card,"//*[@data-testid=""option-1""]",data-testid,1,click,
Upload Back of ID,"//*[@data-testid=""file-upload-back-label""]",data-testid,1,click,
upload-back-input,"//*[@id=""upload-back-input""]",id,1,click,
upload-back-input,"//*[@id=""upload-back-input""]",id,1,change,C:\fakepath\DAVID_N_B.png
svg,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/button[1]/span[2]/svg[1],absolute,0,click,
mailingCity,"//*[@id=""mailingCity""]",id,1,click,
mailingCity,"//*[@id=""mailingCity""]",id,1,change,TRINCITY
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/div[1]/div[1],absolute,1,click,
permanentAddressSameAsMailing,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1],absolute,1,click,
permanentAddressSameAsMailing,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1],absolute,1,change,true
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[2]/div[1]/div[1],absolute,1,click,
permanentAddressSameAsMailing,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[2]/input[1],absolute,1,click,
permanentAddressSameAsMailing,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[2]/input[1],absolute,1,change,false
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/div[1]/div[1],absolute,1,click,
utilityDocOption,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1],absolute,1,click,
utilityDocOption,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1],absolute,1,change,true
Save and Continue,"//*[@data-testid=""save-and-continue-button""]",data-testid,1,click,
