Label,XPath,Strategy,Matches,Action,Value
firstName,"//*[@id=""firstName""]",id,1,click,
firstName,"//*[@id=""firstName""]",id,1,change,PRAKYATH
email,"//*[@id=""email""]",id,1,change,P@GMAIL.COM
middleName,"//*[@id=""middleName""]",id,1,change,ZZZZZ
mobileNumber,"//*[@id=""mobileNumber""]",id,1,click,
mobileNumber,"//*[@id=""mobileNumber""]",id,1,change,666-6666
lastName,"//*[@id=""lastName""]",id,1,click,
lastName,"//*[@id=""lastName""]",id,1,change,CHAN
Select Branch,"//*[@data-testid=""dropdown-button""]",data-testid,1,click,
100 - TECU - MARABELLA BRANCH,"//*[@data-testid=""option-0""]",data-testid,1,click,
Save & Continue,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]",data-testid+text,1,click,
Add profile picture,"//*[@data-testid=""button"" and contains(., ""Add profile picture"")]",data-testid+text,1,click,
Capture,"//*[@data-testid=""capture-button""]",data-testid,1,click,
Upload Profile Photo,"//*[@data-testid=""modal-header""]",data-testid,1,click,
svg,"//*[@data-testid=""close-button""]",data-testid,1,click,
svg,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/svg[1],absolute,0,click,
